,ratio,logreg,random_forest,grad_boosting,neural_net,elo,market_avg
2016,0.1679574382113273,0.5767534073071133,0.57631851673978,0.5777252999310472,0.5782031146965254,0.5870658293333607,0.5590745159828703
2017,0.1432278152568759,0.5961078965313472,0.599630785685753,0.6008809946493396,0.5974863290208342,0.6128617549371956,0.5807447112666432
2018,0.1283603167397992,0.6156982865347719,0.6180386962692824,0.6184530891608047,0.615887887170499,0.6337966024356223,0.5894202514016603
2019,0.1129089933845878,0.6173797011833586,0.6204926633931789,0.62078570089132,0.6179176564897458,0.6330369909283531,0.5937324055421668
2020,0.0495622138324363,0.6084310572191551,0.6117026441116481,0.6116985346666647,0.6025377050397979,0.6311408284622997,0.5742132213751769
2021,0.0920327567733047,0.6170543389985546,0.6170206509440531,0.6188032356560391,0.616135555014608,0.6271097255749201,0.5917499815319023
2022,0.0891824648701685,0.6006814625979842,0.6056121847663456,0.6076014387686298,0.6025761914360745,0.6183278085335676,0.5804516660650778
2023,0.0837783926388263,0.615817817092668,0.6160622356969118,0.6149807164704812,0.6138930273944532,0.632302149521792,0.5879308046280104
2024,0.075669417562192,0.6072180465665311,0.6079035447352861,0.6061186800101572,0.6071180865154916,0.6208677273158177,0.578566756724569
2025,0.0691872498965089,0.6138204354468366,0.6147843955581819,0.6178432681290382,0.6172260482477295,0.6225472616979563,0.5917196071656974
