predictor,ECE,n
Logistic regression,0.020773349102809025,5056
Neural net,0.02073708534375002,5056
Gradient boosting,0.016001349908996293,5056
Elo,0.03499337311417368,5056
Market (avg),0.018969501619881517,5052
